document_type,document_name,start_page,end_page,pages,pdf_pages,average_confidence
TITLE_REPORT,Title Commitment 또는 Preliminary Title Report / 권원 보고서,2,5,2,1,0.95
CREDIT_REPORT,Tri-merge Credit Report / 신용 보고서,1,1,1,2,0.95
TITLE_REPORT,Title Commitment 또는 Preliminary Title Report / 권원 보고서,1,5,1,3,0.95
CREDIT_REPORT,Tri-merge Credit Report / 신용 보고서,1,1,1,4,0.98
TITLE_REPORT,Title Commitment 또는 Preliminary Title Report / 권원 보고서,5,5,5,5,0.95
CREDIT_REPORT,Tri-merge Credit Report / 신용 보고서,8,9,8,6,0.95
TITLE_REPORT,Title Commitment 또는 Preliminary Title Report / 권원 보고서,5,5,5,7,0.98
CREDIT_REPORT,Tri-merge Credit Report / 신용 보고서,1,9,1,8,0.95
TITLE_REPORT,Title Commitment 또는 Preliminary Title Report / 권원 보고서,3,5,3,9,0.95
CREDIT_REPORT,Tri-merge Credit Report / 신용 보고서,9,9,9,10,0.95
OTHER,위 항목에 속하지 않거나 판별이 어려운 페이지,1,2,1,"11,12",0.95
URLA_1003,Uniform Residential Loan Application (Form 1003) / 대출 신청서,1,1,1,13,0.95
CREDIT_REPORT,Tri-merge Credit Report / 신용 보고서,1,1,1,14,0.95
TITLE_REPORT,Title Commitment 또는 Preliminary Title Report / 권원 보고서,4,5,4,15,0.95
OTHER,위 항목에 속하지 않거나 판별이 어려운 페이지,1,1,1,16,0.95
TITLE_REPORT,Title Commitment 또는 Preliminary Title Report / 권원 보고서,1,5,1,17,0.98
URLA_1003,Uniform Residential Loan Application (Form 1003) / 대출 신청서,1,1,1,18,0.95
INCOME_DOC,"Paystub, W-2, 1040, 1099, VOE 등 소득 증빙",1,1,1,19,0.95
URLA_1003,Uniform Residential Loan Application (Form 1003) / 대출 신청서,1,1,1,20,0.95
CREDIT_REPORT,Tri-merge Credit Report / 신용 보고서,7,9,7,21,0.98
TITLE_REPORT,Title Commitment 또는 Preliminary Title Report / 권원 보고서,4,5,4,22,0.95
URLA_1003,Uniform Residential Loan Application (Form 1003) / 대출 신청서,1,1,1,23,0.95
CREDIT_REPORT,Tri-merge Credit Report / 신용 보고서,1,1,1,24,0.98
OTHER,위 항목에 속하지 않거나 판별이 어려운 페이지,1,1,1,"25,26",0.95
INCOME_DOC,"Paystub, W-2, 1040, 1099, VOE 등 소득 증빙",1,2,1,27,0.95
CREDIT_REPORT,Tri-merge Credit Report / 신용 보고서,5,9,5,28,0.95
URLA_1003,Uniform Residential Loan Application (Form 1003) / 대출 신청서,1,1,1,29,0.95
TITLE_REPORT,Title Commitment 또는 Preliminary Title Report / 권원 보고서,1,1,1,30,0.95
INCOME_DOC,"Paystub, W-2, 1040, 1099, VOE 등 소득 증빙",2,2,2,31,0.95
OTHER,위 항목에 속하지 않거나 판별이 어려운 페이지,1,1,1,32,0.95
TITLE_REPORT,Title Commitment 또는 Preliminary Title Report / 권원 보고서,3,5,3,33,0.95
CREDIT_REPORT,Tri-merge Credit Report / 신용 보고서,2,9,2,34,0.95
URLA_1003,Uniform Residential Loan Application (Form 1003) / 대출 신청서,1,1,1,35,0.95
INCOME_DOC,"Paystub, W-2, 1040, 1099, VOE 등 소득 증빙",1,1,1,36,0.95
URLA_1003,Uniform Residential Loan Application (Form 1003) / 대출 신청서,1,1,1,37,0.95
CREDIT_REPORT,Tri-merge Credit Report / 신용 보고서,3,9,3,38,0.95
OTHER,위 항목에 속하지 않거나 판별이 어려운 페이지,1,2,"2,1","39,40",0.95
CREDIT_REPORT,Tri-merge Credit Report / 신용 보고서,6,9,6,41,0.95
TITLE_REPORT,Title Commitment 또는 Preliminary Title Report / 권원 보고서,2,5,2,42,0.98
URLA_1003,Uniform Residential Loan Application (Form 1003) / 대출 신청서,1,1,1,43,0.95
CREDIT_REPORT,Tri-merge Credit Report / 신용 보고서,4,9,4,44,0.98
